,Title,Keywords,Start_Date,End_Date
0,Evaluation Of The Behavioral Health Integration And Complex Care Initiative In Medi-Cal,EVALUATION BEHAVIORAL INTEGRATION COMPLEX INITIATIVE MEDI CAL,2018-09-02,
1,Behavioral Health Information Technology: From Chaos To Clarity,BEHAVIORAL HEALTH INFORMATION TECHNOLOGY FROM CHAOS CLARITY,2016-06-02,
2,Removing Obstacles To Eliminating Racial And Ethnic Disparities In Behavioral Health Care,REMOVING OBSTACLES ELIMINATING DISPARITIES BEHAVIORAL HEALTH CARE,2016-06-02,
3,Controlled Substance Lock-In Programs: Examining An Unintended Consequence Of A Prescription Drug Abuse Policy,CONTROLLED SUBSTANCE LOCK EXAMINING CONSEQUENCE PRESCRIPTION ABUSE,2016-10-02,
4,The Looming Expansion And Transformation Of Public Substance Abuse Treatment Under The Affordable Care Act,LOOMING EXPANSION TRANSFORMATION SUBSTANCE ABUSE TREATMENT AFFORDABLE,2011-08-02,
5,The Urgency Of Providing Comprehensive And Integrated Treatment For Substance Abusers With HIV,URGENCY PROVIDING TREATMENT SUBSTANCE ABUSERS HIV,2011-08-02,
6,Medication Treatment For Opioid Use Disorders In Substance Use Treatment Facilities,MEDICATION TREATMENT OPIOID DISORDERS SUBSTANCE TREATMENT FACILITIES,2019-01-02,
7,How Is Telemedicine Being Used In Opioid And Other Substance Use Disorder Treatment?,TELEMEDICINE USED OPIOID SUBSTANCE USE DISORDER TREATMENT,2018-12-02,
8,Impact Of Medicaid Expansion On Coverage And Treatment Of Low-Income Adults With Substance Use Disorders,IMPACT MEDICAID EXPANSION COVERAGE ADULTS SUBSTANCE DISORDERS,2018-08-02,
9,Survey Highlights Differences In Medicaid Coverage For Substance Use Treatment And Opioid Use Disorder Medications,HIGHLIGHTS MEDICAID COVERAGE SUBSTANCE OPIOID DISORDER MEDICATIONS,2016-12-02,
10,Federal Parity Law Associated With Increased Probability Of Using Out-Of-Network Substance Use Disorder Treatment Services,PARITY ASSOCIATED INCREASED PROBABILITY SUBSTANCE DISORDER TREATMENT,2015-08-02,
11,A Promising Approach For Emergency Departments To Care For Patients With Substance Use And Behavioral Disorders,APPROACH EMERGENCY DEPARTMENTS PATIENTS SUBSTANCE BEHAVIORAL DISORDERS,2013-12-02,
12,News Media Reporting On Medication Treatment For Opioid Use Disorder Amid The Opioid Epidemic,REPORTING MEDICATION TREATMENT OPIOID DISORDER OPIOID EPIDEMIC,2019-04-02,
13,Medication Treatment For Opioid Use Disorders In Substance Use Treatment Facilities,MEDICATION TREATMENT OPIOID DISORDERS SUBSTANCE TREATMENT FACILITIES,2019-01-02,
14,How Is Telemedicine Being Used In Opioid And Other Substance Use Disorder Treatment?,TELEMEDICINE USED OPIOID SUBSTANCE USE DISORDER TREATMENT,2018-12-02,
15,Only One In Twenty Justice-Referred Adults In Specialty Treatment For Opioid Use Receive Methadone Or Buprenorphine,TWENTY REFERRED ADULTS SPECIALTY OPIOID METHADONE BUPRENORPHINE,2017-12-02,
16,Survey Highlights Differences In Medicaid Coverage For Substance Use Treatment And Opioid Use Disorder Medications,HIGHLIGHTS MEDICAID COVERAGE SUBSTANCE OPIOID DISORDER MEDICATIONS,2016-12-02,
17,"Growth In Buprenorphine Waivers For Physicians Increased Potential Access To Opioid Agonist Treatment, 2002–11",BUPRENORPHINE WAIVERS PHYSICIANS INCREASED POTENTIAL OPIOID AGONIST TREATMENT,2015-06-02,
18,The Evidence Doesn’t Justify Steps By State Medicaid Programs To Restrict Opioid Addiction Treatment With Buprenorphine,DOESN’T JUSTIFY MEDICAID RESTRICT OPIOID ADDICTION BUPRENORPHINE,2011-08-02,
19,Prescription Drug Monitoring Programs Are Associated With Sustained Reductions In Opioid Prescribing By Physicians,PRESCRIPTION MONITORING PROGRAMS REDUCTIONS OPIOID PRESCRIBING PHYSICIANS,2016-06-02,
20,A Health Plan’s Formulary Led To Reduced Use Of Extended-Release Opioids But Did Not Lower Overall Opioid Use,PLAN’S FORMULARY REDUCED EXTENDED OPIOIDS OVERALL OPIOID,2018-09-02,
21,States With Prescription Drug Monitoring Mandates Saw A Reduction In Opioids Prescribed To Medicaid Enrollees,PRESCRIPTION MONITORING MANDATES OPIOIDS PRESCRIBED MEDICAID ENROLLEES,2017-04-02,
22,Mandatory Provider Review And Pain Clinic Laws Reduce The Amounts Of Opioids Prescribed And Overdose Death Rates,MANDATORY PROVIDER CLINIC AMOUNTS OPIOIDS PRESCRIBED OVERDOSE,2016-10-02,
23,Group Health’s Initiative To Avert Opioid Misuse And Overdose Among Patients With Chronic Noncancer Pain,HEALTH’S AVERT OPIOID MISUSE OVERDOSE CHRONIC NONCANCER,2011-08-02,
24,Primary Care Physicians In Ten Countries Report Challenges Caring For Patients With Complex Health Needs,PRIMARY PHYSICIANS TEN CHALLENGES CARING PATIENTS COMPLEX,2015-12-02,
25,Cross-Sector Service Use Among High Health Care Utilizers In Minnesota After Medicaid Expansion,CROSS SECTOR HEALTH UTILIZERS MINNESOTA MEDICAID EXPANSION,2018-01-02,
26,Evaluating Strategies For Reducing Health Disparities By Addressing The Social Determinants Of Health,EVALUATING STRATEGIES REDUCING HEALTH DISPARITIES ADDRESSING DETERMINANTS HEALTH,2016-08-02,
27,Where Health Disparities Begin: The Role Of Social And Economic Determinants—And Why Current Policies May Make Matters Worse,DISPARITIES BEGIN ROLE DETERMINANTS—AND POLICIES MATTERS WORSE,2011-10-02,
28,Integrating Social Needs Into Health Care: A Twenty-Year Case Study Of Adaptation And Diffusion,INTEGRATING NEEDS HEALTH TWENTY STUDY ADAPTATION DIFFUSION,2018-02-02,
29,Formerly Homeless People Had Lower Overall Health Care Expenditures After Moving Into Supportive Housing,FORMERLY HOMELESS OVERALL EXPENDITURES MOVING SUPPORTIVE HOUSING,2016-01-02,
30,"Individual Placement And Support Services Boost Employment For People With Serious Mental Illnesses, But Funding Is Lacking",INDIVIDUAL PLACEMENT BOOST EMPLOYMENT ILLNESSES FUNDING LACKING,2016-06-02,
31,Expectations About Future Use Of Long-Term Services And Supports Vary By Current Living Arrangement,EXPECTATIONS TERM SERVICES SUPPORTS VARY CURRENT ARRANGEMENT,2015-01-02,
32,"Gradual Rebalancing Of Medicaid Long-Term Services And Supports Saves Money And Serves More People, Statistical Model Shows",GRADUAL REBALANCING MEDICAID SUPPORTS SAVES SERVES STATISTICAL,2012-06-02,
33,Frequent Emergency Department Users: A Statewide Comparison Before And After Affordable Care Act Implementation,FREQUENT EMERGENCY USERS STATEWIDE COMPARISON AFFORDABLE IMPLEMENTATION,2018-06-02,
34,Innovative Population Health Model Associated With Reduced Emergency Department Use And Inpatient Hospitalizations,INNOVATIVE POPULATION ASSOCIATED REDUCED EMERGENCY INPATIENT HOSPITALIZATIONS,2018-04-02,
35,Persistent Frequent Emergency Department Use: Core Group Exhibits Extreme Levels Of Use For More Than A Decade,PERSISTENT FREQUENT EMERGENCY CORE EXHIBITS LEVELS DECADE,2017-10-02,
36,"After Medicaid Expansion In Kentucky, Use Of Hospital Emergency Departments For Dental Conditions Increased",MEDICAID EXPANSION KENTUCKY EMERGENCY DEPARTMENTS DENTAL INCREASED,2016-12-02,
37,Federally Qualified Health Center Use Among Dual Eligibles: Rates Of Hospitalizations And Emergency Department Visits,FEDERALLY QUALIFIED DUAL ELIGIBLES HOSPITALIZATIONS EMERGENCY VISITS,2015-07-02,
38,"In California, Primary Care Continuity Was Associated With Reduced Emergency Department Use And Fewer Hospitalizations",CALIFORNIA PRIMARY CONTINUITY ASSOCIATED REDUCED EMERGENCY HOSPITALIZATIONS,2015-07-02,
39,The Affordable Care Act Reduces Emergency Department Use By Young Adults: Evidence From Three States,AFFORDABLE ACT REDUCES EMERGENCY DEPARTMENT ADULTS EVIDENCE,2014-09-02,
40,Dispelling An Urban Legend: Frequent Emergency Department Users Have Substantial Burden Of Disease,DISPELLING URBAN LEGEND FREQUENT EMERGENCY SUBSTANTIAL BURDEN,2013-12-02,
41,Health Information Exchange Improves Identification Of Frequent Emergency Department Users,EXCHANGE IMPROVES IDENTIFICATION FREQUENT EMERGENCY DEPARTMENT USERS,2013-12-02,
42,A Promising Approach For Emergency Departments To Care For Patients With Substance Use And Behavioral Disorders,APPROACH EMERGENCY DEPARTMENTS PATIENTS SUBSTANCE BEHAVIORAL DISORDERS,2013-12-02,
43,"How Community Organizing Promotes Health Equity, And How Health Equity Affects Organizing",COMMUNITY ORGANIZING PROMOTES EQUITY EQUITY AFFECTS ORGANIZING,2018-03-02,
44,Examining Whether The Health-In-All-Policies Approach Promotes Health Equity,EXAMINING HEALTH POLICIES APPROACH PROMOTES HEALTH EQUITY,2018-03-02,
45,Health Departments With A Commitment To Health Equity: A More Skilled Workforce And Higher-Quality Collaborations,DEPARTMENTS COMMITMENT EQUITY WORKFORCE HIGHER QUALITY COLLABORATIONS,2018-01-02,
46,Challenges To Reducing Discrimination And Health Inequity Through Existing Civil Rights Laws,CHALLENGES REDUCING DISCRIMINATION INEQUITY EXISTING CIVIL LAWS,2017-06-02,
47,Identifying Policy Levers And Opportunities For Action Across States To Achieve Health Equity,IDENTIFYING POLICY LEVERS OPPORTUNITIES ACHIEVE HEALTH EQUITY,2017-06-02,
48,Organizational Change Management For Health Equity: Perspectives From The Disparities Leadership Program,MANAGEMENT HEALTH EQUITY PERSPECTIVES DISPARITIES LEADERSHIP PROGRAM,2017-06-02,
49,Promoting Health Equity And Population Health: How Americans’ Views Differ,PROMOTING HEALTH EQUITY POPULATION HEALTH AMERICANS’ VIEWS DIFFER,2016-11-02,
50,"Achieving Health Equity: Closing The Gaps In Health Care Disparities, Interventions, And Research",ACHIEVING EQUITY CLOSING GAPS DISPARITIES INTERVENTIONS RESEARCH,2016-08-02,
51,High-Quality Health Care: The Essential Route To Eliminating Disparities And Achieving Health Equity,QUALITY ESSENTIAL ROUTE ELIMINATING DISPARITIES ACHIEVING EQUITY,2011-10-02,
52,Passive Enrollment Of Dual-Eligible Beneficiaries Into Medicare And Medicaid Managed Care Has Not Met Expectations,PASSIVE ENROLLMENT DUAL ELIGIBLE BENEFICIARIES MEDICARE MEDICAID,2017-05-02,
53,Dx For A Careful Approach To Moving Dual-Eligible Beneficiaries Into Managed Care Plans,DX APPROACH MOVING DUAL ELIGIBLE BENEFICIARIES MANAGED,2012-06-02,
54,What Works In Chronic Care Management: The Case Of Heart Failure,WORKS CHRONIC CARE MANAGEMENT CASE HEART FAILURE,2009-01-02,
55,Behavioral And Other Chronic Conditions Among Adult Medicaid Enrollees: Implications For Work Requirements,CONDITIONS ENROLLEES IMPLICATIONS WORK REQUIREMENTS,2019-04-02,
56,Accumulation Of Chronic Conditions At The Time Of Death Increased In Ontario From 1994 To 2013,ACCUMULATION CONDITIONS TIME DEATH INCREASED ONTARIO FROM,2018-03-02,
57,"Chronic Conditions, Workplace Safety, And Job Demands Contribute To Absenteeism And Job Performance",CONDITIONS WORKPLACE SAFETY DEMANDS CONTRIBUTE ABSENTEEISM PERFORMANCE,2017-02-02,
58,Care Management Processes Used Less Often For Depression Than For Other Chronic Conditions In US Primary Care Practices,MANAGEMENT PROCESSES DEPRESSION CHRONIC CONDITIONS PRIMARY PRACTICES,2016-03-02,
59,Living In A Country With A Strong Primary Care System Is Beneficial To People With Chronic Conditions,LIVING COUNTRY STRONG PRIMARY BENEFICIAL CHRONIC CONDITIONS,2015-09-02,
60,A Comparison Of How Four Countries Use Health IT To Support Care For People With Chronic Conditions,COMPARISON FOUR COUNTRIES HEALTH SUPPORT CARE CHRONIC CONDITIONS,2014-09-02,
61,Transitional Care Cut Hospital Readmissions For North Carolina Medicaid Patients With Complex Chronic Conditions,TRANSITIONAL READMISSIONS CAROLINA MEDICAID PATIENTS COMPLEX CHRONIC,2013-08-02,
62,Use Of Medical Care For Chronic Conditions,USE MEDICAL CARE CHRONIC CONDITIONS,2009-01-02,
63,Future Demand For Long-Term Care Workers Will Be Influenced By Demographic And Utilization Changes,DEMAND TERM WORKERS INFLUENCED DEMOGRAPHIC UTILIZATION CHANGES,2015-06-02,
64,Medicare And Medicaid In Long-Term Care,MEDICARE AND MEDICAID LONG TERM CARE,2010-01-02,
65,The Accumulated Challenges Of Long-Term Care,CHALLENGES LONG TERM CARE,2010-01-02,
66,"Bridging Troubled Waters: Family Caregivers, Transitions, And Long-Term Care",BRIDGING WATERS FAMILY CAREGIVERS TRANSITIONS TERM CARE,2010-01-02,
67,New State Strategies To Meet Long-Term Care Needs,STATE STRATEGIES MEET LONG TERM CARE NEEDS,2010-01-02,
68,"Long-Term Care: Who Gets It, Who Provides It, Who Pays, And How Much?",LONG TERM CARE GETS PROVIDES PAYS MUCH,2010-01-02,
69,Improving The Long-Term Care Workforce Serving Older Adults,IMPROVING TERM CARE WORKFORCE SERVING OLDER ADULTS,2010-01-02,
70,Applying Market-Based Reforms To Long-Term Care,APPLYING MARKET BASED REFORMS LONG TERM CARE,2010-01-02,
71,The Complementarity Of Public And Private Long-Term Care Coverage,COMPLEMENTARITY PUBLIC PRIVATE LONG TERM CARE COVERAGE,2010-01-02,
72,"Workplace Programs, Policies, And Environmental Supports To Prevent Cardiovascular Disease",WORKPLACE PROGRAMS POLICIES SUPPORTS PREVENT CARDIOVASCULAR DISEASE,2017-02-02,
73,"Social, Psychological, And Physical Aspects Of The Work Environment Could Contribute To Hypertension Prevalence",PSYCHOLOGICAL PHYSICAL ASPECTS ENVIRONMENT CONTRIBUTE HYPERTENSION PREVALENCE,2017-02-02,
74,"How Cumulative Risks Warrant A Shift In Our Approach To Racial Health Disparities: The Case Of Lead, Stress, And Hypertension",CUMULATIVE RISKS WARRANT SHIFT DISPARITIES STRESS HYPERTENSION,2011-10-02,
75,The Architecture Of Safety: An Emerging Priority For Improving Patient Safety,ARCHITECTURE SAFETY EMERGING PRIORITY IMPROVING PATIENT SAFETY,2018-11-02,
76,Learning From Patients’ Experiences Related To Diagnostic Errors Is Essential For Progress In Patient Safety,PATIENTS’ EXPERIENCES DIAGNOSTIC ERRORS ESSENTIAL PROGRESS PATIENT,2018-11-02,
77,Nurses’ And Patients’ Appraisals Show Patient Safety In Hospitals Remains A Concern,NURSES’ PATIENTS’ APPRAISALS PATIENT HOSPITALS REMAINS CONCERN,2018-11-02,
78,Patient Engagement In Health Care Safety: An Overview Of Mixed-Quality Evidence,PATIENT ENGAGEMENT SAFETY OVERVIEW MIXED QUALITY EVIDENCE,2018-11-02,
79,Patient Safety In Inpatient Psychiatry: A Remaining Frontier For Health Policy,PATIENT SAFETY INPATIENT PSYCHIATRY REMAINING FRONTIER POLICY,2018-11-02,
80,Does Nursing Home Compare Reflect Patient Safety In Nursing Homes?,NURSING COMPARE REFLECT PATIENT SAFETY NURSING HOMES,2018-11-02,
81,An Electronic Health Record–Based Real-Time Analytics Program For Patient Safety Surveillance And Improvement,ELECTRONIC RECORD–BASED ANALYTICS PATIENT SAFETY SURVEILLANCE IMPROVEMENT,2018-11-02,
82,"Greatest Impact Of Safe Harbor Rule May Be To Improve Patient Safety, Not Reduce Liability Claims Paid By Physicians",GREATEST HARBOR IMPROVE PATIENT REDUCE LIABILITY PHYSICIANS,2014-01-02,
83,High-Profile Investigations Into Hospital Safety Problems In England Did Not Prompt Patients To Switch Providers,PROFILE INVESTIGATIONS SAFETY PROMPT PATIENTS SWITCH PROVIDERS,2012-03-02,
84,Health Reform Holds Both Risks And Rewards For Safety-Net Providers And Racially And Ethnically Diverse Patients,REFORM HOLDS RISKS REWARDS PROVIDERS RACIALLY ETHNICALLY,2011-10-02,
85,Legacy Health’s ‘Big Aims’ Initiative To Improve Patient Safety Reduced Rates Of Infection And Mortality Among Patients,LEGACY HEALTH’S AIMS’ INITIATIVE REDUCED INFECTION MORTALITY,2011-04-02,
86,A Broad And Structured Approach To Improving Patient Safety And Quality: Lessons From Denver Health,BROAD STRUCTURED IMPROVING PATIENT SAFETY LESSONS DENVER,2011-04-02,
87,Changing The Culture In Medical Education To Teach Patient Safety,CHANGING CULTURE MEDICAL EDUCATION TEACH PATIENT SAFETY,2010-09-02,
88,"Patient Safety At Ten: Unmistakable Progress, Troubling Gaps",PATIENT SAFETY TEN UNMISTAKABLE PROGRESS TROUBLING GAPS,2010-01-02,
89,"Despite 2007 Law Requiring FDA Hotline To Be Included In Print Drug Ads, Reporting Of Adverse Events By Consumers Still Low",REQUIRING FDA HOTLINE PRINT ADS REPORTING CONSUMERS,2012-05-02,
90,"Hospital Pay-For-Performance Programs In Maryland Produced Strong Results, Including Reduced Hospital-Acquired Conditions",HOSPITAL PROGRAMS MARYLAND PRODUCED REDUCED HOSPITAL ACQUIRED,2012-12-02,
91,Mandatory Public Reporting Of Hospital-Acquired Infection Rates: A Report From California,MANDATORY REPORTING HOSPITAL ACQUIRED INFECTION RATES CALIFORNIA,2011-04-02,
